Participant,From,To,Duration,File,Function,Scenario,Something related to traffic,RPM,Speed,Brake,STD of interval time,eyes off the road (yes/no),Notes,Phone dimmed
P19,4639.0,4639.0,0.0,,forward/backward,urban,,,,,,no,unsuccessful gesture for backward,yes
P19,4655.0,4655.0,0.0,,forward/backward,urban,,,,,,no,unsuccessful gesture for backward,yes
P19,4705.95,4707.35,1.4000000000005457,,pause/play,urban,very close to a turn moving slowly ,,,,,yes,,yes
P19,4709.6,4710.7,1.0999999999994543,,pause/play,urban,"car was stopped before turn",,,,,yes,unsuccessful gesture,yes
P19,4715.1,4718.0,2.899999999999636,,pause/play,urban,"car was stopped before turn",,,,,yes,unsuccessful gesture,yes
P02,0500.0,0502.6,2.6000000000000227,,Vol-up/down,expressway,,,,,,yes,"looking at the phone, an error on stw and song changed, 5 swipe up",No
P02,0511.5,0513.3,1.7999999999999545,,Vol-up/down,expressway,,,,,,yes,"looking at the phone for feedback after interaction, 2 swipe up",No
P02,0517.0,0517.45,0.4500000000000455,,forward/backward,expressway,,,,,,yes,"looking at the phone for feedback after interaction, as error happend didnt trust the sensors",No
P02,0518.05,0518.7,0.650000000000091,,forward/backward,expressway,deviated from the lane,,,,,yes,"looking at the phone for feedback, didtn touch the right place, unsuccessful gesture",No
P02,0519.45,0519.85,0.39999999999997726,,forward/backward,expressway,,,,,,,,No
P02,0520.25,0521.0,0.75,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback before interaction,No
P02,0521.95,0523.95,2.0,,forward/backward,expressway,,,,,,,looking at the phone for feedback after interaction,No
P02,0524.1,0525.3,1.1999999999999318,,forward/backward,expressway,,,,,,yes,looking at the phone for feedback after interaction,No
P02,0526.0,0527.8,1.7999999999999545,,forward/backward,expressway,deviated from the lane,,,,,yes,looking at the phone for feedback while interaction,No
P02,0537.55,0542.65,5.100000000000023,,forward/backward,expressway,deviated from the lane,,,,,yes,"looking at the phone, testing the sensors until this interaction",No
P02,0545.25,0545.85,0.6000000000000227,,Vol-up/down,expressway,,,,,,yes,"looking at the phone for feedback after interaction, one complete swipe up and small swipe ups at the end",No
P02,0557.3,0558.2,0.900000000000091,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,No
P02,0558.8,0559.8,1.0,,pause/play,expressway,,,,,,yes,looking at the phone for feedback after interaction,No
P02,0631.55,0632.0,0.4500000000000455,,others,expressway,very close to a car on the other lane and front car,,,,,yes,looking at the phone,No
P02,0650.25,0651.0,0.75,,others,expressway,very close to a car on the other lane and front car,,,,,yes,looking at the phone,No
